"Direcc..Media.de.Proced..0.N.90.E."	"logHm0"	"logTm02"	"logTp"	"ID"	"loc"
71	1.22964055107451	1.86252854011626	2.27109442590267	2106	"MarVilanova"
67	1.39871688111845	1.96711235670592	2.40874528882244	2106	"MarVilanova"
60	1.51292701205326	1.93007108502557	2.28033948404673	2106	"MarVilanova"
61	1.83736998048011	2.02022218201986	2.32434658477556	2106	"MarVilanova"
241	1.18478998490916	1.67147330335355	1.97823903617067	2106	"MarVilanova"
65	1.33762918913861	1.83896107071235	2.15292431843964	2106	"MarVilanova"
64	1.66013102674962	1.92716410623426	2.20276475771183	2106	"MarVilanova"
259	1.21194097397511	1.69927861643389	2.03470564783844	2106	"MarVilanova"
61	1.45628673293993	1.9154509415706	2.30358459332713	2106	"MarVilanova"
214	1.38879124131848	1.84530023615608	2.13534917361813	2106	"MarVilanova"
72	1.79009141212736	2.10413415427021	2.45358796653057	2106	"MarVilanova"
142	1.51512723296286	1.9213246735827	2.2082744135228	2106	"MarVilanova"
69	1.71018781553424	2.0360119837525	2.30358459332713	2106	"MarVilanova"
68	2.13416644136908	2.18380155700408	2.494031557565	2106	"MarVilanova"
67	1.83736998048011	1.99333884262642	2.30358459332713	2106	"MarVilanova"
84	1.30833281965018	1.82454929205105	2.30358459332713	2106	"MarVilanova"
69	1.68268837417369	2.05540496385159	2.39880395073459	2106	"MarVilanova"
65	1.50407739677627	1.88706964903238	2.2082744135228	2106	"MarVilanova"
66	1.49065437644413	1.89160480419777	2.30358459332713	2106	"MarVilanova"
71	1.38879124131848	1.91985947185537	2.22570404865809	209	"MarDeltaEbre"
69	1.7509374747078	2.12345842709661	2.41947884446554	209	"MarDeltaEbre"
63	1.41827740697294	1.89160480419777	2.2353763433006	209	"MarDeltaEbre"
76	1.26129787094521	1.85159946958407	2.14593128294867	209	"MarDeltaEbre"
81	1.30562645805244	1.85473426838944	2.11986345617875	209	"MarDeltaEbre"
74	1.34025042261848	1.9154509415706	2.2353763433006	209	"MarDeltaEbre"
64	1.43031124653666	1.98650354602057	2.3646204839135	209	"MarDeltaEbre"
75	1.22964055107451	1.84213567655312	2.20717490818939	209	"MarDeltaEbre"
185	1.24126858906963	1.82616089594539	2.11142458753289	209	"MarDeltaEbre"
75	1.74221902366792	2.04898233419513	2.32238772029023	209	"MarDeltaEbre"
189	1.13462272619114	1.76473079684014	2.06305806242931	209	"MarDeltaEbre"
84	1.46325540225602	1.9154509415706	2.16332302566054	209	"MarDeltaEbre"
93	1.33500106673234	1.86097453824953	2.13653050866396	209	"MarDeltaEbre"
75	1.57484646766448	1.95727390770563	2.22570404865809	209	"MarDeltaEbre"
69	1.35583515363518	1.96571277635149	2.34372703632522	209	"MarDeltaEbre"
61	1.3787660946991	1.92424865227413	2.34372703632522	209	"MarDeltaEbre"
77	1.56234630490025	1.98650354602057	2.25339484880327	209	"MarDeltaEbre"
188	0.959350221334602	1.73342389221509	2.1126345090356	209	"MarDeltaEbre"
88	1.28370777234479	1.8196988379173	2.17133680638409	209	"MarDeltaEbre"
91	1.57484646766448	1.93730177451871	2.18041745901984	209	"MarDeltaEbre"
69	1.52388002407245	1.98375629154543	2.32238772029023	209	"MarDeltaEbre"
64	1.33500106673234	1.90805992492422	2.27315628230323	209	"MarDeltaEbre"
90	1.07840958135059	1.69009581545155	1.93730177451871	209	"MarDeltaEbre"
66	1.66581824587021	2.06178660644112	2.37490575457367	209	"MarDeltaEbre"
73	1.05431202977153	1.70656462316482	1.96571277635149	209	"MarDeltaEbre"
71	1.53255686809814	1.97685495290473	2.25339484880327	209	"MarDeltaEbre"
75	1.24703229378638	1.85473426838944	2.14593128294867	209	"MarDeltaEbre"
